연번,구직등록일,연령,희망지역,희망직종,희망임금,장애유형,중증여부,기관분류
183,2022-01-03,24,경남 창원시 마산회원구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
184,2022-01-03,21,충북 청주시,사무 보조원(공공기관),(시급)9160,뇌병변장애,경증,공단
185,2022-01-03,55,서울 은평구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(월급)1300000,지적장애,중증,공단
186,2022-01-03,21,충북 청주시 흥덕구,환경·청소 관리자,,지적장애,중증,공단
187,2022-01-03,65,충북 청주시,주차 관리·안내원,(시급)9160,신장장애,중증,공단
188,2022-01-03,61,전북 진안군,건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),(월급)1500000,간장애,경증,공단
189,2022-01-03,33,경북 구미시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
190,2022-01-03,35,충남 천안시,총무 및 일반 사무원,(시급)9160,지체장애,경증,공단
191,2022-01-03,23,경북 경산시,사무 보조원(공공기관),(시급)8720,지적장애,중증,공단
192,2022-01-03,19,전남 순천시,"기타 판매 단순 종사원(전단지배포, 벽보원, 물품 보관원)",(시급)9160,지적장애,중증,공단
193,2022-01-03,48,대구 서구,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)8720,지적장애,중증,공단
194,2022-01-03,20,서울 강북구,귀금속·보석 세공원,(시급)8720,지적장애,중증,공단
195,2022-01-03,20,서울 강남구,귀금속·보석 세공원,(월급)1000000,지적장애,중증,공단
196,2022-01-03,25,부산 기장군,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)8720,지적장애,중증,공단
197,2022-01-03,27,경북 성주군,사무 보조원(공공기관),(시급)8720,지적장애,중증,공단
198,2022-01-03,19,경기 시흥시,전기·전자 분야 단순 종사원,(시급)9160,지적장애,중증,공단
199,2022-01-03,21,경기 군포시,사무 보조원(일반사업체),(시급)9160,지적장애,중증,공단
200,2022-01-03,27,부산 동래구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,정신장애,중증,공단
201,2022-01-03,19,경기 시흥시,사무 보조원(일반사업체),(월급)2000000,지적장애,중증,공단
202,2022-01-03,64,대구 달서구,"기타 건물 관리원(공원, 종교시설 등)",(시급)8720,시각장애,경증,공단
203,2022-01-03,37,대구 남구,음료 조리사(바리스타 포함),(시급)8720,지적장애,중증,공단
204,2022-01-03,23,대구 달서구,목욕관리 및 기타 피부미용 종사원,(시급)8720,지적장애,중증,공단
205,2022-01-03,59,경북 경산시,육아 도우미(베이비시터),(시급)8720,청각장애,경증,공단
206,2022-01-03,56,대구 서구,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)8720,지적장애,중증,공단
207,2022-01-03,57,경북 경산시,도배공,(월급)3000000,지체장애,경증,공단
208,2022-01-03,19,광주 북구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
209,2022-01-03,44,부산 동래구,음료 조리사(바리스타 포함),(시급)9460,지적장애,중증,공단
210,2022-01-03,31,경남 창원시 마산회원구,사무 보조원(공공기관),(시급)9160,청각장애,경증,공단
211,2022-01-03,48,전남 목포시,요양 보호사 및 간병인,(시급)9160,지체장애,경증,공단
212,2022-01-03,75,부산 수영구,전기·전자 분야 단순 종사원,(시급)8720,청각장애,경증,공단
213,2022-01-03,59,부산 해운대구,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",(시급)8720,청각장애,경증,공단
214,2022-01-03,52,제주 제주시,음료 조리사(바리스타 포함),(시급)9160,정신장애,중증,공단
215,2022-01-03,69,울산 남구,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,시각장애,경증,공단
216,2022-01-03,70,,,,시각장애,중증,공단
217,2022-01-03,63,전북 전주시,재가 요양보호사,(시급)9160,지체장애,경증,공단
218,2022-01-03,66,부산 부산진구,환경 미화원,(시급)8720,청각장애,경증,공단
219,2022-01-03,20,부산 북구,사무 보조원(일반사업체),,지적장애,중증,공단
220,2022-01-03,63,전북 진안군,건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),(월급)2400000,지체장애,경증,공단
221,2022-01-03,60,경남 김해시,직업 운동선수,(월급)970000,지체장애,중증,공단
222,2022-01-03,22,광주 북구,제과·제빵원,(시급)9160,지적장애,중증,공단
223,2022-01-03,35,서울 종로구,지하철 택배원,(월급)1820000,정신장애,중증,공단
224,2022-01-03,64,서울 강남구,"노선버스 운전원(시내, 마을, 시외, 고속)",(월급)1500000,지체장애,경증,공단
225,2022-01-03,59,광주 서구,생산·품질 사무원 및 관리원(기계·자동차·금속),(시급)9720,지체장애,경증,공단
226,2022-01-03,68,대구 달서구,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)8720,지체장애,경증,공단
227,2022-01-03,71,대전 중구,사무 보조원(일반사업체),(월급)900000,지체장애,중증,공단
228,2022-01-03,40,대구 서구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,정신장애,중증,공단
229,2022-01-03,49,울산 남구,조경 식재원,(연봉)25000000,지체장애,경증,공단
230,2022-01-03,22,경북 포항시 북구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",,신장장애,중증,공단
231,2022-01-03,52,서울 서초구,음료 조리사(바리스타 포함),(월급)2000000,시각장애,경증,공단
232,2022-01-03,19,경북 경주시,환경·청소 관리자,,지적장애,중증,공단
233,2022-01-03,27,광주 광산구,공공행정 사무원,(시급)9160,시각장애,경증,공단
234,2022-01-03,19,경북 경주시,환경·청소 관리자,,지적장애,중증,공단
235,2022-01-03,73,경남 양산시,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",(시급)9160,지체장애,경증,공단
236,2022-01-03,25,경북 포항시,사무 보조원(공공기관),(시급)9160,지체장애,중증,공단
237,2022-01-03,20,충북 청주시 상당구,주입·포장·상표부착기 등 기타 기계 조작원,(시급)9160,자폐성장애,중증,공단
238,2022-01-03,20,충북 청주시 흥덕구,주입·포장·상표부착기 등 기타 기계 조작원,(시급)9160,지적장애,중증,공단
239,2022-01-03,22,충북 제천시,기타 음식서비스 종사원(병원 배식원),,지적장애,중증,공단
240,2022-01-03,21,충북 제천시,주입·포장·상표부착기 등 기타 기계 조작원,(시급)9160,지적장애,중증,공단
241,2022-01-03,20,충북 제천시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
242,2022-01-03,32,광주 광산구,기타 전자 부품·제품 조립·검사원,(시급)9160,지적장애,중증,공단
243,2022-01-03,26,대전 동구,환경 미화원,(시급)9160,지적장애,중증,공단
244,2022-01-03,27,경남 창원시,사무 보조원(공공기관),(시급)9160,지적장애,중증,공단
245,2022-01-03,40,경남 진주시,음식서비스 관리자,(시급)9160,신장장애,중증,공단
246,2022-01-03,40,경남 진주시,사무 보조원(공공기관),(시급)9160,정신장애,중증,공단
247,2022-01-03,22,서울 송파구,귀금속·보석 세공원,(시급)9160,지적장애,중증,공단
248,2022-01-03,57,대구 동구,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,정신장애,중증,공단
249,2022-01-03,20,경남 창원시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
250,2022-01-03,67,서울 도봉구,환경 미화원,(시급)9160,지체장애,경증,공단
251,2022-01-03,43,서울 성동구,음식서비스 관리자,(시급)8720,신장장애,중증,공단
252,2022-01-03,66,울산 중구,재가 요양보호사,(시급)9160,지체장애,경증,공단
253,2022-01-03,62,인천 미추홀구,공예원,(월급)1000000,지체장애,경증,공단
254,2022-01-03,55,경기 안양시,안마사,(시급)9160,시각장애,중증,공단
255,2022-01-03,79,경기 평택시,안마사,(시급)9160,시각장애,경증,공단
256,2022-01-03,70,경기 고양시,승합차 운전원,(시급)9160,청각장애,경증,공단
257,2022-01-03,24,인천 미추홀구,공예원,(시급)9160,지적장애,중증,공단
258,2022-01-03,49,경북 포항시,총무 및 일반 사무원,(시급)9160,지체장애,경증,공단
259,2022-01-03,30,경기 화성시(수원),총무 및 일반 사무원,(월급)1500000,지적장애,중증,공단
260,2022-01-03,51,광주 광산구,생산·품질 사무원 및 관리원(기계·자동차·금속),(시급)9720,정신장애,중증,공단
261,2022-01-03,36,부산 북구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,청각장애,중증,공단
262,2022-01-03,33,충남 천안시,사무 보조원(일반사업체),(시급)9160,청각장애,중증,공단
